dialect_code,variant_name
00756,गढ़वाली: टेहरी
00757,Tieng Viet
00757,Tiếng Việt
00757,Vietnamese: Central Vietnamese
00757,Vietnamese: Hue
00760,Kakbarak
00760,Kokbarak
00760,Kok Borok
00760,Mrung
00760,Noatia
00760,Tipura
00760,Tripura
00760,Usipi
00760,Usipi Mrung
00760,त्रिपुरी
00764,Bunong
00764,"Central Mnong, Bunong"
00764,Mnong: Bunor
00764,"Mnong, Central: Bu Nar"
00764,ព្នង
00767,"Mnong, Eastern: Mnong Gar"
00767,Mnong Gar
00767,Mnong: Gar
00767,Pnom Gar
00767,Pnong
00768,Dhundi-Kairali
00768,Gurmukhi
00768,Pahari-Potwari: Pahari
00768,Panjabi: Thandiani
00768,Punjabi-Pahari
00768,Punjabi: Pahari
00768,Punjabi: Thandiani
00768,Thandiani
00768,Thandiani Pahari
00769,Garo: Tripura
00769,Kik Borok
00769,गारो: त्रिपुरा
00771,English: Liberian Standard
00771,English: Soldier
00771,Liberian Standard English
00771,Soldier English
00772,Dajak: Randuk Ulu
00772,Iban: Randuk
00772,Randuk Ulu
00772,Sea Dajak: Randuk Ulu
00777,Kpeaply
00777,Krahn: Kpeaple
00777,"Krahn, Western: Kpeaply"
00781,Gorbo
00781,Gwarbo
00781,Krahn: Gwabo
00782,Gedebo
00782,"Grebo, Central: Trembo"
00782,"Grebo, Globo: Trembo"
00782,Grebo: Trembo
00783,"Grebo, Northern"
00783,"Grebo, Northern: Palipo"
00783,Grebo: Palipo
00784,"Krahn, Eastern: Konobo"
00784,Krahn: Konobo
00785,Baroba
00785,Bush Grebo
00785,Grebo: Barabo
00785,Grebo: Barobo
00785,Grebo: Barrobo
00785,"Grebo, Central: Borobo"
00785,"Grebo, Globo: Borobo"
00787,Kouy: Antra
00787,Kui Antra
00787,Kui Ntra
00787,Kuy: Antra
00787,​គុយ
00793,Dak Gle
00793,Die
00793,Jeh: Dak Gle
00793,Jeh: Northern
00793,Ye
00793,Yeh
00798,Bulongan Malay
00798,Malay: Bulongan
00798,Melayu: Bulongan
00804,Lun Bawang
00804,Lundaye: Lun Ba
00804,Lundaye: Lun Bà
00806,Bonerate
00806,Buton
00806,Tukangbesi
00806,Tukang-Besi
00806,"Tukangbesi, South: Binongko"
00806,Tukang Besi South: Binongko
00806,Wakatobi
00808,Tondano
00808,Tondanou
00809,Kelai
00813,Lun Bawang
00813,Lundaye: Long Iluk
